OnlineBackup,MonthlyCharges,PhoneService
Yes,29.85,No
No,56.95,Yes
Yes,53.85,Yes
No,42.3,No
No,70.7,Yes
No,99.65,Yes
Yes,89.1,Yes
No,29.75,No
No,104.8,Yes
Yes,56.15,Yes
No,49.95,Yes
No internet service,18.95,Yes
No,100.35,Yes
Yes,103.7,Yes
No,105.5,Yes
Yes,113.25,Yes
No internet service,20.65,Yes
No,106.7,Yes
No,55.2,Yes
Yes,90.05,Yes
No,39.65,No
No internet service,19.8,Yes
No internet service,20.15,Yes
Yes,59.9,Yes
Yes,59.6,Yes
Yes,55.3,Yes
Yes,99.35,Yes
Yes,30.2,No
Yes,90.25,Yes
No,64.7,Yes
Yes,96.35,Yes
No,95.5,Yes
Yes,66.15,Yes
No internet service,20.2,Yes
No,45.25,Yes
Yes,99.9,Yes
No,69.7,Yes
No,74.8,Yes
Yes,106.35,Yes
No,97.85,Yes
Yes,49.55,Yes
Yes,69.2,Yes
No internet service,20.75,Yes
Yes,79.85,Yes
Yes,76.2,Yes
No,84.5,Yes
Yes,49.25,Yes
No,80.65,Yes
No,79.75,Yes
No,64.15,Yes
Yes,90.25,Yes
Yes,99.1,Yes
No,69.5,Yes
Yes,80.65,Yes
Yes,74.85,Yes
No,95.45,Yes
No,99.65,Yes
Yes,108.45,Yes
No internet service,24.95,Yes
No,107.5,Yes
No,100.5,Yes
Yes,89.9,Yes
Yes,42.1,No
No,54.4,Yes
No,94.4,Yes
Yes,75.3,Yes
Yes,78.9,Yes
Yes,79.2,Yes
No internet service,20.15,Yes
No,79.85,Yes
No,49.05,Yes
No internet service,20.4,Yes
No,111.6,Yes
No internet service,24.25,Yes
No,64.5,Yes
Yes,110.5,Yes
No,55.65,Yes
Yes,54.65,Yes
Yes,74.75,Yes
No internet service,25.9,Yes
No,79.35,Yes
No,50.55,No
No,75.15,Yes
Yes,103.8,Yes
No internet service,20.15,Yes
Yes,99.3,Yes
No,62.15,Yes
No internet service,20.65,Yes
No internet service,19.95,Yes
No,33.75,No
Yes,82.05,Yes
No,74.7,Yes
No,84.0,Yes
Yes,111.05,Yes
Yes,100.9,Yes
No,78.95,Yes
Yes,66.85,Yes
No internet service,21.05,Yes
No internet service,21.0,Yes
Yes,98.5,Yes
No internet service,20.2,Yes
No internet service,19.45,Yes
No,95.0,Yes
Yes,45.55,No
Yes,110.0,Yes
No,24.3,No
Yes,104.15,Yes
No,30.15,No
No,94.35,Yes
No internet service,19.4,Yes
Yes,96.75,Yes
No,57.95,Yes
Yes,91.65,Yes
No,76.5,Yes
Yes,54.6,No
Yes,89.85,Yes
No,31.05,No
No,100.25,Yes
No internet service,20.65,Yes
Yes,85.2,Yes
No,99.8,Yes
No internet service,20.7,Yes
No,74.4,Yes
No,50.7,Yes
No internet service,20.85,Yes
No,88.95,Yes
No,78.05,Yes
No internet service,23.55,Yes
No internet service,19.75,Yes
Yes,56.45,No
No,85.95,Yes
Yes,58.6,No
No,50.55,Yes
No,35.45,No
No,44.35,Yes
No internet service,25.7,Yes
No,75.0,Yes
No internet service,20.2,Yes
No internet service,19.6,Yes
No,70.45,Yes
Yes,88.05,Yes
No,71.15,Yes
Yes,101.05,Yes
Yes,84.3,Yes
No internet service,23.95,Yes
Yes,99.05,Yes
No internet service,19.6,Yes
No,45.65,Yes
Yes,64.5,Yes
Yes,69.5,Yes
No,68.55,Yes
No,95.0,Yes
Yes,108.15,Yes
Yes,86.1,Yes
No internet service,19.7,Yes
No,80.9,Yes
No,84.15,Yes
No internet service,20.15,Yes
No,64.25,Yes
No internet service,25.7,Yes
Yes,56.0,Yes
No,82.4,Yes
No,69.7,Yes
Yes,73.9,Yes
No internet service,20.6,Yes
No internet service,19.9,Yes
No,70.9,Yes
Yes,89.05,Yes
Yes,45.3,No
No internet service,20.4,Yes
No,84.25,Yes
No,104.4,Yes
Yes,81.95,Yes
No,94.85,Yes
No internet service,20.55,Yes
No internet service,24.7,Yes
No,74.45,Yes
No,76.45,Yes
Yes,105.35,Yes
No internet service,20.55,Yes
Yes,29.95,No
No,45.3,Yes
No,84.5,Yes
No,74.75,Yes
Yes,79.25,Yes
No,24.8,No
Yes,51.8,Yes
No,30.4,No
No internet service,19.65,Yes
Yes,56.6,Yes
No,71.9,Yes
Yes,91.0,Yes
No internet service,19.75,Yes
Yes,109.7,Yes
No internet service,19.3,Yes
Yes,96.55,Yes
No internet service,24.1,Yes
Yes,111.35,Yes
Yes,112.25,Yes
No internet service,20.75,Yes
No,101.9,Yes
Yes,80.05,Yes
No,105.55,Yes
No,78.3,Yes
No,68.85,Yes
Yes,79.95,Yes
Yes,55.45,No
No,79.9,Yes
No,106.6,Yes
Yes,102.45,Yes
No,46.0,Yes
No,25.25,No
No internet service,19.75,Yes
No internet service,20.0,Yes
No,86.8,Yes
Yes,58.75,No
Yes,45.25,No
Yes,56.6,No
Yes,84.2,Yes
No,80.0,Yes
No,70.15,Yes
No internet service,24.75,Yes
No internet service,20.2,Yes
No,50.05,Yes
No internet service,19.35,Yes
No,50.6,No
No,81.15,Yes
No,55.2,Yes
No,89.9,Yes
Yes,85.3,Yes
Yes,108.0,Yes
Yes,93.5,Yes
No,84.6,Yes
No internet service,20.25,Yes
No internet service,25.15,Yes
Yes,54.4,Yes
No,29.6,No
No,73.15,Yes
Yes,95.0,Yes
No internet service,19.75,Yes
Yes,86.6,Yes
Yes,109.2,Yes
No,74.7,Yes
Yes,94.4,Yes
Yes,54.8,Yes
No,75.35,Yes
No,65.0,Yes
Yes,74.4,Yes
No,48.55,Yes
Yes,99.0,Yes
Yes,93.5,Yes
No,70.4,Yes
Yes,40.2,No
Yes,83.7,Yes
No internet service,19.85,Yes
Yes,59.55,No
Yes,115.1,Yes
Yes,114.35,Yes
No,44.6,Yes
No,45.0,No
No,41.15,No
Yes,106.9,Yes
Yes,89.85,Yes
Yes,49.85,No
Yes,113.3,Yes
Yes,88.1,Yes
No internet service,24.9,Yes
Yes,105.0,Yes
No internet service,19.35,Yes
No internet service,24.25,Yes
No,94.45,Yes
Yes,59.75,Yes
No,24.8,No
Yes,107.05,Yes
No,70.6,Yes
Yes,85.4,Yes
Yes,105.05,Yes
Yes,64.95,Yes
No,55.0,No
Yes,50.55,Yes
Yes,55.15,Yes
Yes,51.2,Yes
No internet service,25.4,Yes
No,54.45,Yes
No,95.15,Yes
No,76.0,Yes
No,44.35,Yes
No,70.0,Yes
Yes,74.5,Yes
No,44.85,Yes
No,76.1,Yes
Yes,61.2,Yes
Yes,86.8,Yes
No,89.35,Yes
No internet service,19.7,Yes
No internet service,20.25,Yes
No,76.05,Yes
No,100.8,Yes
No,74.55,Yes
No,73.6,Yes
No,64.9,Yes
No,95.45,Yes
No,90.4,Yes
Yes,60.3,No
Yes,81.85,Yes
No internet service,24.8,Yes
No,74.9,Yes
No,75.55,Yes
Yes,101.15,Yes
No,78.75,Yes
No internet service,19.25,Yes
No,89.05,Yes
Yes,115.05,Yes
No,69.35,Yes
No,80.6,Yes
Yes,110.05,Yes
No internet service,19.9,Yes
Yes,80.3,Yes
No,93.15,Yes
No,91.5,Yes
Yes,82.45,Yes
Yes,60.0,No
No,44.8,Yes
No,48.6,Yes
Yes,60.05,No
Yes,102.7,Yes
No,82.9,Yes
No,70.35,Yes
No,35.9,No
No,82.65,Yes
No internet service,19.85,Yes
No internet service,19.2,Yes
Yes,94.9,Yes
No,73.85,Yes
No,80.6,Yes
Yes,75.8,Yes
Yes,104.6,Yes
Yes,88.15,Yes
Yes,94.8,Yes
Yes,103.4,Yes
Yes,54.65,Yes
Yes,85.75,Yes
Yes,67.45,Yes
No internet service,20.5,Yes
No internet service,20.25,Yes
No,72.1,Yes
No,90.4,Yes
No internet service,19.45,Yes
No,44.95,No
Yes,97.0,Yes
No,62.8,Yes
No,44.6,Yes
No,89.15,Yes
Yes,84.8,Yes
No,41.9,No
No,80.25,Yes
No,54.1,Yes
Yes,105.25,Yes
No,30.75,No
No,97.1,Yes
No internet service,20.2,Yes
Yes,98.8,Yes
No,50.3,Yes
No internet service,20.55,Yes
No,75.9,Yes
No,96.5,Yes
No,59.95,Yes
No internet service,19.15,Yes
No,98.65,Yes
Yes,112.6,Yes
No internet service,20.6,Yes
No,85.65,Yes
No,35.75,No
Yes,99.75,Yes
Yes,96.1,Yes
Yes,85.1,Yes
No,25.35,No
No,104.95,Yes
Yes,89.65,Yes
No,86.75,Yes
Yes,86.2,Yes
Yes,50.65,Yes
Yes,64.8,No
Yes,90.85,Yes
Yes,108.1,Yes
No internet service,19.95,Yes
Yes,85.45,Yes
Yes,54.75,No
No,90.4,Yes
No,44.0,Yes
No,95.6,Yes
Yes,84.8,Yes
No,44.3,Yes
No internet service,19.9,Yes
No,95.05,Yes
Yes,90.05,Yes
No,109.9,Yes
Yes,73.95,Yes
No,54.6,No
No internet service,20.05,Yes
No internet service,19.75,Yes
No internet service,20.05,Yes
No,99.45,Yes
No,55.9,Yes
No internet service,19.7,Yes
No internet service,19.8,Yes
No,95.4,Yes
Yes,93.95,Yes
No internet service,19.9,Yes
No internet service,19.6,Yes
Yes,81.35,Yes
No internet service,24.45,Yes
No,74.95,Yes
Yes,87.35,Yes
No,70.65,Yes
Yes,73.25,Yes
Yes,98.7,Yes
No internet service,24.8,Yes
Yes,83.3,Yes
No,75.3,Yes
No internet service,24.3,Yes
No,69.85,Yes
Yes,100.55,Yes
No internet service,25.7,Yes
Yes,40.7,No
No,51.65,Yes
Yes,105.1,Yes
No,85.95,Yes
No,75.6,Yes
No,58.25,Yes
No internet service,19.4,Yes
Yes,65.2,No
No,53.45,Yes
No,45.4,Yes
No internet service,19.75,Yes
No,44.45,No
No internet service,20.85,Yes
Yes,114.05,Yes
No,89.85,Yes
No,55.05,Yes
No,112.95,Yes
No,101.55,Yes
Yes,114.65,Yes
No,64.8,Yes
No,80.4,Yes
Yes,105.9,Yes
No,69.55,Yes
No internet service,25.05,Yes
No,94.75,Yes
Yes,105.5,Yes
No internet service,24.7,Yes
No,69.75,Yes
Yes,60.2,No
No,81.05,Yes
No internet service,24.4,Yes
Yes,104.15,Yes
Yes,92.9,Yes
Yes,80.8,Yes
No internet service,20.0,Yes
No,75.1,Yes
No internet service,19.65,Yes
Yes,69.45,Yes
No,101.15,Yes
Yes,99.8,Yes
Yes,116.05,Yes
No,40.05,No
No,102.1,Yes
Yes,89.7,Yes
No internet service,19.9,Yes
No,55.95,Yes
No internet service,20.65,Yes
No,55.0,Yes
No,70.05,Yes
No,53.6,Yes
Yes,74.7,Yes
Yes,80.25,Yes
Yes,76.05,Yes
Yes,75.7,Yes
No,96.1,Yes
No,69.0,Yes
No internet service,19.65,Yes
No,45.3,No
No,81.45,Yes
Yes,108.5,Yes
Yes,83.55,Yes
No,84.5,Yes
Yes,100.15,Yes
Yes,88.6,Yes
No,52.55,No
No,74.35,Yes
Yes,104.8,Yes
Yes,59.0,Yes
No,74.4,Yes
Yes,64.05,Yes
No internet service,20.4,Yes
Yes,43.75,No
Yes,60.9,Yes
No internet service,19.8,Yes
Yes,28.45,No
Yes,99.7,Yes
Yes,116.25,Yes
No,80.7,Yes
No,65.2,Yes
No,84.05,Yes
Yes,79.45,Yes
Yes,94.1,Yes
No,78.0,Yes
No,94.2,Yes
No,80.5,Yes
No internet service,19.85,Yes
No,94.3,Yes
No,106.45,Yes
No,74.35,Yes
Yes,105.45,Yes
Yes,95.0,Yes
No,104.8,Yes
No,54.3,Yes
No,70.05,Yes
No,75.2,Yes
No internet service,20.05,Yes
Yes,105.4,Yes
No,51.6,Yes
No,85.5,Yes
No,75.6,Yes
No,100.05,Yes
No,91.25,Yes
Yes,115.75,Yes
Yes,94.7,Yes
No internet service,19.6,Yes
Yes,99.9,Yes
No internet service,21.1,Yes
No internet service,20.05,Yes
No,79.95,Yes
No,107.15,Yes
No,85.0,Yes
No,89.55,Yes
Yes,81.55,Yes
Yes,58.45,Yes
Yes,95.65,Yes
Yes,80.6,Yes
Yes,113.1,Yes
No,58.95,Yes
No internet service,19.55,Yes
No,86.05,Yes
No,45.55,No
No,78.95,Yes
Yes,86.3,Yes
Yes,105.05,Yes
Yes,101.9,Yes
No internet service,19.75,Yes
Yes,110.3,Yes
Yes,115.6,Yes
No internet service,19.35,Yes
No internet service,25.6,Yes
Yes,80.35,Yes
No,68.75,Yes
No internet service,19.9,Yes
Yes,70.6,Yes
No,70.2,Yes
No,49.3,Yes
Yes,107.25,Yes
No internet service,23.6,Yes
No,69.7,Yes
No,99.5,Yes
No,64.3,Yes
No,70.85,Yes
No,101.9,Yes
Yes,73.5,Yes
No,100.25,Yes
Yes,40.4,No
No internet service,19.25,Yes
Yes,59.6,Yes
No,64.9,Yes
Yes,100.3,Yes
Yes,110.85,Yes
Yes,81.05,Yes
No,98.05,Yes
No,70.5,Yes
Yes,94.55,Yes
No internet service,19.65,Yes
No internet service,19.0,Yes
No,75.3,Yes
No,89.2,Yes
No internet service,19.0,Yes
No internet service,20.0,Yes
No,85.7,Yes
Yes,63.25,Yes
No internet service,20.1,Yes
Yes,99.15,Yes
Yes,90.4,Yes
No,111.9,Yes
No internet service,24.9,Yes
Yes,83.5,Yes
Yes,84.3,Yes
No,45.6,Yes
No,61.65,Yes
Yes,54.85,No
No,65.55,Yes
Yes,90.35,Yes
No internet service,20.4,Yes
No,74.55,Yes
No internet service,19.95,Yes
No,74.25,Yes
Yes,108.65,Yes
No,109.55,Yes
No,86.65,Yes
No,81.0,Yes
No,47.85,Yes
Yes,114.55,Yes
No,105.25,Yes
Yes,29.95,No
Yes,65.0,Yes
No internet service,20.55,Yes
Yes,109.8,Yes
No,69.5,Yes
No,48.85,Yes
No,25.25,No
No,102.85,Yes
Yes,87.55,Yes
Yes,78.55,Yes
No,34.55,No
Yes,92.05,Yes
No,85.05,Yes
No internet service,19.7,Yes
No internet service,20.0,Yes
No,95.15,Yes
Yes,84.25,Yes
Yes,104.6,Yes
Yes,111.65,Yes
Yes,90.05,Yes
Yes,110.75,Yes
No,55.0,Yes
Yes,89.85,Yes
No internet service,20.35,Yes
No,54.55,No
Yes,105.5,Yes
No,99.45,Yes
Yes,70.9,Yes
No,104.55,Yes
No,85.25,Yes
No internet service,25.4,Yes
No,56.15,Yes
No,89.55,Yes
Yes,89.85,Yes
No internet service,25.25,Yes
No,94.55,Yes
No,45.7,Yes
No,69.65,Yes
Yes,89.5,Yes
No,70.0,Yes
No,69.55,Yes
No,74.6,Yes
No internet service,20.1,Yes
No internet service,24.8,Yes
No internet service,19.65,Yes
No,95.1,Yes
Yes,88.85,Yes
Yes,78.8,Yes
No internet service,19.85,Yes
No internet service,20.35,Yes
No,24.25,No
No,45.25,Yes
No internet service,20.05,Yes
Yes,69.55,Yes
No internet service,19.5,Yes
No,74.75,Yes
No,69.65,Yes
No,30.2,No
No,45.65,Yes
