MonthlyCharges,Contract,PaymentMethod
95.55,One year,Electronic check
34.5,Month-to-month,Electronic check
77.15,Month-to-month,Electronic check
49.35,Two year,Electronic check
69.9,Month-to-month,Mailed check
89.15,Month-to-month,Electronic check
70.3,Month-to-month,Electronic check
74.9,Month-to-month,Electronic check
54.55,Month-to-month,Bank transfer (automatic)
85.35,Month-to-month,Bank transfer (automatic)
86.45,Month-to-month,Electronic check
56.25,Month-to-month,Electronic check
78.6,One year,Credit card (automatic)
24.45,Month-to-month,Mailed check
99.55,Month-to-month,Electronic check
100.2,Month-to-month,Electronic check
89.75,Month-to-month,Bank transfer (automatic)
69.75,Month-to-month,Electronic check
99.45,Month-to-month,Credit card (automatic)
34.7,Month-to-month,Electronic check
79.7,Two year,Electronic check
89.0,Month-to-month,Mailed check
89.95,Month-to-month,Electronic check
19.65,Month-to-month,Mailed check
24.6,Month-to-month,Electronic check
75.3,Month-to-month,Electronic check
24.95,Month-to-month,Electronic check
81.0,Month-to-month,Credit card (automatic)
86.85,Month-to-month,Mailed check
19.5,Month-to-month,Bank transfer (automatic)
36.5,Month-to-month,Bank transfer (automatic)
79.55,Month-to-month,Electronic check
70.3,Month-to-month,Electronic check
71.55,Month-to-month,Mailed check
42.35,One year,Electronic check
20.2,Month-to-month,Bank transfer (automatic)
77.75,Month-to-month,Electronic check
74.3,Month-to-month,Electronic check
99.95,Month-to-month,Mailed check
70.3,Month-to-month,Electronic check
70.2,Month-to-month,Bank transfer (automatic)
91.4,Month-to-month,Electronic check
82.0,Month-to-month,Electronic check
99.55,Month-to-month,Credit card (automatic)
85.3,Month-to-month,Electronic check
95.15,Month-to-month,Bank transfer (automatic)
69.1,Month-to-month,Electronic check
96.5,Month-to-month,Electronic check
85.2,Month-to-month,Mailed check
60.15,Month-to-month,Electronic check
74.4,Month-to-month,Mailed check
100.8,Month-to-month,Electronic check
72.45,One year,Credit card (automatic)
70.2,Month-to-month,Electronic check
69.35,Month-to-month,Electronic check
80.8,Month-to-month,Credit card (automatic)
24.1,Month-to-month,Mailed check
34.7,Month-to-month,Electronic check
105.0,One year,Bank transfer (automatic)
98.6,One year,Bank transfer (automatic)
109.75,Two year,Bank transfer (automatic)
45.4,Month-to-month,Mailed check
89.05,One year,Electronic check
69.65,Month-to-month,Electronic check
47.15,Month-to-month,Electronic check
70.4,Month-to-month,Electronic check
45.15,Month-to-month,Electronic check
75.2,Month-to-month,Bank transfer (automatic)
104.0,Two year,Credit card (automatic)
69.4,Month-to-month,Mailed check
85.35,Month-to-month,Electronic check
91.85,Month-to-month,Electronic check
79.5,Month-to-month,Electronic check
101.4,Month-to-month,Electronic check
90.55,Month-to-month,Credit card (automatic)
83.65,Month-to-month,Electronic check
100.3,One year,Credit card (automatic)
105.65,One year,Credit card (automatic)
20.35,Month-to-month,Mailed check
99.2,One year,Credit card (automatic)
69.55,Month-to-month,Electronic check
86.0,Month-to-month,Bank transfer (automatic)
80.0,One year,Credit card (automatic)
100.65,Month-to-month,Bank transfer (automatic)
49.15,Month-to-month,Electronic check
88.85,Month-to-month,Electronic check
75.3,One year,Mailed check
20.1,Month-to-month,Mailed check
70.3,Month-to-month,Electronic check
20.4,Month-to-month,Mailed check
102.1,Month-to-month,Credit card (automatic)
21.05,Month-to-month,Mailed check
73.75,Month-to-month,Mailed check
84.5,Month-to-month,Bank transfer (automatic)
91.4,Month-to-month,Electronic check
78.1,Month-to-month,Bank transfer (automatic)
67.5,One year,Bank transfer (automatic)
40.2,Month-to-month,Electronic check
74.7,Month-to-month,Electronic check
91.3,Month-to-month,Electronic check
78.3,Month-to-month,Electronic check
113.6,Month-to-month,Bank transfer (automatic)
74.65,Month-to-month,Electronic check
45.85,Month-to-month,Mailed check
98.55,Month-to-month,Electronic check
77.95,Month-to-month,Bank transfer (automatic)
96.3,Month-to-month,Mailed check
24.75,Two year,Credit card (automatic)
80.15,Month-to-month,Credit card (automatic)
50.6,Month-to-month,Mailed check
85.35,Month-to-month,Electronic check
55.3,Month-to-month,Electronic check
42.6,Month-to-month,Electronic check
86.15,Month-to-month,Credit card (automatic)
89.5,Month-to-month,Electronic check
62.05,Month-to-month,Bank transfer (automatic)
100.25,Month-to-month,Electronic check
60.4,Month-to-month,Mailed check
59.4,Month-to-month,Electronic check
56.15,Month-to-month,Mailed check
84.1,Month-to-month,Electronic check
98.15,Month-to-month,Bank transfer (automatic)
100.6,Month-to-month,Electronic check
60.1,Month-to-month,Mailed check
59.3,One year,Electronic check
44.4,Month-to-month,Mailed check
90.6,One year,Credit card (automatic)
50.25,Month-to-month,Electronic check
85.55,Month-to-month,Credit card (automatic)
98.4,Month-to-month,Electronic check
70.85,Month-to-month,Electronic check
99.85,Month-to-month,Electronic check
79.25,Month-to-month,Electronic check
105.3,Month-to-month,Electronic check
19.4,Month-to-month,Mailed check
